Number,lemma,Category,Level
1,a,(prep.),A1
2,abitare,(v. int.),A1
3,aceto,(s.m.),A1
4,acqua,(s.f.),A1
5,adesso,(avv.),A1
6,aereo,(s.m.),A1
6,aeroplano,(s.m.),A1
7,aeroporto,(s.m.),A1
8,affetto,(s.m.),A1
9,agenzia,(s.f.),A1
10,agosto,(s.m.),A1
11,aiuto,(inter.),A1
12,albergo,(s.m.),A1
13,albero,(s.m.),A1
14,alfabeto,(s.m.),A1
15,alto,(agg.),A1
16,amare,(v.t.),A1
17,ambasciata,(s.f.),A1
18,amico/a,(s.m. – s.f.),A1
19,amore,(s.m),A1
20,anche,(cong.),A1
21,andare,(v. int.),A1
22,animale,(s.m.),A1
23,anno,(s.m.),A1
24,appartamento,(s.m.),A1
25,appuntamento,(s.m.),A1
26,aprile,(s.m.),A1
27,aprire,(v.t.),A1
28,arrivare,(v.intr.),A1
29,arrivederci,(inter.),A1
30,arte,(s.f.),A1
31,ascoltare,(v.t.),A1
32,aspettare,(v.t),A1
33,attento,(agg.),A1
34,attenzione,(s.f.),A1
35,augurio,(s.m.),A1
36,autobus,(s.m.),A1
37,autunno,(s.m.),A1
38,avanti,(avv.),A1
39,avere,(v.t.),A1
40,bacio,(s.m.),A1
41,bagno,(s.m.),A1
42,ballare,(v.int.),A1
43,bambino/a,(s.m - s.f.),A1
44,banca,(s.f.),A1
45,bar,(s.m.),A1
46,bello,(agg.),A1
47,bene,(avv.),A1
48,bere,(v.t.),A1
49,bianco,(agg.),A1
50,bicchiere,(s.m.),A1
51,bici,(cletta)(s.f.),A1
52,biglietto,(s.m.),A1
53,biondo,(agg.),A1
54,birra,(s.f.),A1
55,blu,(agg.),A1
56,borsa,(s.f.),A1
57,bottiglia,(s.f.),A1
58,bravo,(agg. - inter.),A1
59,buonanotte,(inter.),A1
60,buonasera,(inter.),A1
61,buongiorno,(inter.),A1
62,buono,(agg.),A1
63,busta,(s.f.),A1
64,caffè,(s.m.),A1
65,caldo,(agg.),A1
66,calza,(s.f.),A1
67,cambiare,(v.t),A1
68,camera,(s.f.),A1
69,cameriere/a,(s.m.- s.f.),A1
70,camicia,(s.f.),A1
71,campagna,(s.f.),A1
72,cane,(s.m.),A1
73,cantare,(v.t.),A1
74,canzone,(s.f.),A1
75,capello,(s.m.),A1
76,capire,(v.t.),A1
77,cappotto,(s.m.),A1
78,cappuccino,(s.m.),A1
79,carne,(s.f.),A1
80,caro,(agg.),A1
81,carta,(s.f.),A1
82,cartolina,(s.f.),A1
83,casa,(s.f.),A1
84,castano,(agg.),A1
85,cd,(s.m),A1
86,cellulare,(s.m.),A1
87,cena,(s.f.),A1
88,cenare,(v.int.),A1
89,centro,(s.m.),A1
90,cercare,(v.t.),A1
91,certo,(avv.),A1
92,che,(pron.),A1
93,check-in,(s.m.),A1
94,chi,(pron.),A1
95,chiamare/si,(v.t. – v.int. pron.),A1
96,chiave,(s.f.),A1
97,chiesa,(s.f.),A1
98,chiudere,(v.t.),A1
99,ci,(part. pron. luogo),A1
100,ciao,(inter.),A1
101,cibo,(s.m.),A1
102,cin cin,(inter.),A1
103,cinema,(s.m.),A1
104,città,(s.f.),A1
105,classe,(s.f.),A1
106,cognome,(s.m.),A1
107,colazione,(s.f.),A1
108,colore,(s.m.),A1
109,coltello,(s.m),A1
110,come,(avv.),A1
111,cominciare,(v.int.),A1
112,compagno/a,(s.m. – s.f.),A1
113,compleanno,(s.m.),A1
114,comprare,(v.t.),A1
115,computer,(s.m.),A1
116,con,(prep.),A1
117,consolato,(s.m.),A1
118,conto,(s.m.),A1
119,corso,(s.m.),A1
120,corto,(agg.),A1
121,cosa,(s.f.),A1
122,costare,(v.t.),A1
123,credito,(s.m.),A1
124,cucchiaio,(s.m.),A1
125,cucina,(s.f.),A1
126,dare,(v.t.),A1
127,data,(s.f.),A1
128,davanti,(avv.),A1
129,dentro,(avv.),A1
130,destra,(s.f.),A1
131,di,(prep.),A1
132,dicembre,(s.m.),A1
133,dietro,(avv.),A1
134,difficile,(agg.),A1
135,dire,(v.t.),A1
136,doccia,(s.f.),A1
137,documento,(s.m.),A1
138,domanda,(s.f.),A1
139,domandare,(v.t.),A1
140,domani,(avv.),A1
141,domenica,(s.f.),A1
142,donna,(s.f.),A1
143,dopo,(avv.),A1
144,doppio,(agg.),A1
145,dormire,(v.int.),A1
146,dottore/ssa,(s.m. – s.f.),A1
147,dove,(avv.),A1
148,dovere,(v.int.),A1
149,e,(cong.),A1
150,e-mail,(s.f.),A1
151,entrare,(v.int.),A1
152,esercizio,(s.m.),A1
153,essere,(v.int.),A1
154,estate,(s.f.),A1
155,estero,(s.m.),A1
156,euro,(s.m.),A1
157,fabbrica,(s.f.),A1
158,facile,(agg.),A1
159,falso,(agg.),A1
160,fame,(s.f.),A1
161,famiglia,(s.f.),A1
162,fare,(v.t.),A1
163,farmacia,(s.f.),A1
164,favore,(s.m.),A1
165,fax,(s.m.),A1
166,febbraio,(s.m.),A1
167,felice,(agg.),A1
168,femmina,(s.f.),A1
169,fermata,(s.f.),A1
170,festa,(s.f.),A1
171,figlio/a,(s.m. – s.f.),A1
172,film,(s.m.),A1
173,finestra,(s.f.),A1
174,finire,(v.int.),A1
175,fiore,(s.m.),A1
176,forchetta,(s.f.),A1
177,fotografia,(s.f.),A1
178,francobollo,(s.m.),A1
179,fratello,(s.m.),A1
180,freddo,(agg.),A1
181,frutta,(s.f.),A1
182,fumare,(v.t.),A1
183,fuori,(avv.),A1
184,gatto,(s.m.),A1
185,gennaio,(s.m.),A1
186,gentile,(agg.),A1
187,giacca,(s.f.),A1
188,giallo,(agg.),A1
189,giardino,(s.m.),A1
190,giocare,(v.intr.),A1
191,giornale,(s.m.),A1
192,giornata,(s.f.),A1
193,giorno,(s.m.),A1
194,giovane,(agg.),A1
195,giovedì,(s.m.),A1
196,giù,(avv.),A1
197,giugno,(s.m.),A1
198,gli,(art.),A1
199,gonna,(s.f.),A1
200,grande,(agg.),A1
201,grazie,(inter.),A1
202,guardare,(v.t.),A1
203,hobby,(s.m.),A1
204,hotel,(s.m.),A1
205,i,(art.),A1
206,ieri,(avv.),A1
207,il,(art.),A1
208,imparare,(v.t.),A1
209,importante,(agg.),A1
210,in,(prep.),A1
211,incontrare,(v.t.),A1
212,indietro,(avv.),A1
213,indirizzo,(s.m.),A1
214,industria,(s.f.),A1
215,informazione,(s.f.),A1
216,insegnante,(s.m – s.f.),A1
217,insegnare,(v.t.),A1
218,intelligente,(agg.),A1
219,interessante,(agg.),A1
220,internazionale,(agg.),A1
221,internet,(s.f.),A1
222,inverno,(s.m.),A1
223,io,(pron.),A1
224,italiano,(s.m.),A1
225,la,(art.),A1
226,là,(avv.),A1
227,lago,(s.m.),A1
228,largo,(agg.),A1
229,latte,(s.m.),A1
230,lavorare,(v.int.),A1
231,lavoro,(s.m.),A1
232,le,(art.),A1
233,leggere,(v.t.),A1
234,lei,(pron.),A1
235,lettera,(s.f.),A1
236,letto,(s.m.),A1
237,lezione,(s.f.),A1
238,lì,(avv.),A1
239,libro,(s.m.),A1
240,lingua,(s.f.),A1
241,lo,(art.),A1
242,lontano,(avv.),A1
243,loro,(pron.),A1
244,luglio,(s.m.),A1
245,lui,(pron.),A1
246,lunedì,(s.m.),A1
247,lungo,(agg.),A1
248,macchina,(s.f.),A1
249,madre,(s.f.),A1
250,maggio,(s.m.),A1
251,maglietta,(s.f.),A1
252,maglione,(s.m.),A1
253,magro,(agg.),A1
254,mai,(avv.),A1
255,malato,(agg.),A1
256,male,(avv.),A1
257,mamma,(s.f.),A1
258,mangiare,(v.t.),A1
259,mare,(s.m.),A1
260,marito,(s.m.),A1
261,martedì,(s.m.),A1
262,marzo,(s.m.),A1
263,maschio,(s.m.),A1
264,matita,(s.f.),A1
265,mattina,(s.f.),A1
266,me,(pron.),A1
267,medicina,(s.f.),A1
268,meno,(avv.),A1
269,menù,(s.m.),A1
270,mercato,(s.m.),A1
